🕘️更新时间,#genre#
2026-06-08 18:29:54,http://45.192.97.170:8880/play/501.m3u8

咪咕央卫,#genre#
CCTV1,http://45.192.97.170:8880/play/501.m3u8
CCTV1,http://45.192.97.170:8880/play/500.m3u8
CCTV1,http://45.192.97.170:8880/play/453.m3u8
CCTV1,http://45.192.97.170:8880/play/454.m3u8
CCTV1,http://45.192.97.170:8880/play/151.m3u8
CCTV2,http://45.192.97.170:8880/play/502.m3u8
CCTV2,http://45.192.97.170:8880/play/455.m3u8
CCTV2,http://45.192.97.170:8880/play/456.m3u8
CCTV2,http://45.192.97.170:8880/play/199.m3u8
CCTV2,http://45.192.97.170:8880/play/259.m3u8
CCTV3,http://45.192.97.170:8880/play/504.m3u8
CCTV3,http://45.192.97.170:8880/play/457.m3u8
CCTV3,http://45.192.97.170:8880/play/458.m3u8
CCTV4,http://45.192.97.170:8880/play/507.m3u8
CCTV4,http://45.192.97.170:8880/play/506.m3u8
CCTV4,http://45.192.97.170:8880/play/460.m3u8
CCTV4,http://45.192.97.170:8880/play/459.m3u8
CCTV5,http://45.192.97.170:8880/play/508.m3u8
CCTV5,http://45.192.97.170:8880/play/461.m3u8
CCTV5+,http://45.192.97.170:8880/play/462.m3u8
CCTV5+,http://45.192.97.170:8880/play/273.m3u8
CCTV6,http://45.192.97.170:8880/play/511.m3u8
CCTV6,http://45.192.97.170:8880/play/464.m3u8
CCTV6,http://45.192.97.170:8880/play/463.m3u8
CCTV7,http://45.192.97.170:8880/play/513.m3u8
CCTV7,http://45.192.97.170:8880/play/512.m3u8
CCTV7,http://45.192.97.170:8880/play/465.m3u8
CCTV7,http://45.192.97.170:8880/play/466.m3u8
CCTV7,http://45.192.97.170:8880/play/158.m3u8
CCTV8,http://45.192.97.170:8880/play/515.m3u8
CCTV8,http://45.192.97.170:8880/play/468.m3u8
CCTV8,http://45.192.97.170:8880/play/467.m3u8
CCTV8,http://45.192.97.170:8880/play/265.m3u8
CCTV9,http://45.192.97.170:8880/play/517.m3u8
CCTV9,http://45.192.97.170:8880/play/470.m3u8
CCTV9,http://45.192.97.170:8880/play/516.m3u8
CCTV9,http://45.192.97.170:8880/play/469.m3u8
CCTV9,http://45.192.97.170:8880/play/160.m3u8
CCTV10,http://45.192.97.170:8880/play/519.m3u8
CCTV10,http://45.192.97.170:8880/play/518.m3u8
CCTV10,http://45.192.97.170:8880/play/472.m3u8
CCTV10,http://45.192.97.170:8880/play/471.m3u8
CCTV10,http://45.192.97.170:8880/play/267.m3u8
CCTV11,http://45.192.97.170:8880/play/520.m3u8
CCTV11,http://45.192.97.170:8880/play/473.m3u8
CCTV11,http://45.192.97.170:8880/play/162.m3u8
CCTV12,http://45.192.97.170:8880/play/521.m3u8
CCTV12,http://45.192.97.170:8880/play/474.m3u8
CCTV13,http://45.192.97.170:8880/play/522.m3u8
CCTV13,http://45.192.97.170:8880/play/475.m3u8
CCTV13,http://45.192.97.170:8880/play/726.m3u8
CCTV14,http://45.192.97.170:8880/play/524.m3u8
CCTV14,http://45.192.97.170:8880/play/476.m3u8
CCTV14,http://45.192.97.170:8880/play/477.m3u8
CCTV14,http://45.192.97.170:8880/play/523.m3u8
CCTV15,http://45.192.97.170:8880/play/478.m3u8
CCTV15,http://45.192.97.170:8880/play/479.m3u8
CCTV15,http://45.192.97.170:8880/play/526.m3u8
CCTV15,http://45.192.97.170:8880/play/166.m3u8
CCTV17,http://45.192.97.170:8880/play/482.m3u8
CCTV17,http://45.192.97.170:8880/play/483.m3u8
东方卫视,http://45.192.97.170:8880/play/492.m3u8
东方卫视,http://45.192.97.170:8880/play/491.m3u8
东方卫视,http://45.192.97.170:8880/play/180.m3u8
江苏卫视,http://45.192.97.170:8880/play/503.m3u8
江苏卫视,http://45.192.97.170:8880/play/183.m3u8
广东卫视,http://45.192.97.170:8880/play/181.m3u8
北京卫视,http://45.192.97.170:8880/play/494.m3u8
北京卫视,http://45.192.97.170:8880/play/179.m3u8
辽宁卫视,http://45.192.97.170:8880/play/196.m3u8
河北卫视,http://45.192.97.170:8880/play/189.m3u8
江西卫视,http://45.192.97.170:8880/play/505.m3u8
湖北卫视,http://45.192.97.170:8880/play/191.m3u8
CHC影迷电影,http://45.192.97.170:8880/play/1774.m3u8
CHC动作电影,http://45.192.97.170:8880/play/527.m3u8
CHC家庭影院,http://45.192.97.170:8880/play/528.m3u8

体育0607,#genre#

体育0608,#genre#

体育0609,#genre#

浙江-iptv,#genre#
CCTV16,http://45.192.97.170:8880/play/480.m3u8
CCTV16,http://45.192.97.170:8880/play/481.m3u8
HTV-1,http://45.192.97.170:8880/play/169.m3u8
HTV-2,http://45.192.97.170:8880/play/170.m3u8
安徽卫视,http://45.192.97.170:8880/play/499.m3u8
安徽卫视,http://45.192.97.170:8880/play/178.m3u8
山东卫视,http://45.192.97.170:8880/play/185.m3u8
山东卫视,http://45.192.97.170:8880/play/297.m3u8
四川卫视,http://45.192.97.170:8880/play/496.m3u8
四川卫视,http://45.192.97.170:8880/play/186.m3u8
云南卫视,http://45.192.97.170:8880/play/493.m3u8
云南卫视,http://45.192.97.170:8880/play/190.m3u8
天津卫视,http://45.192.97.170:8880/play/497.m3u8
天津卫视,http://45.192.97.170:8880/play/498.m3u8
黑龙江卫视,http://45.192.97.170:8880/play/197.m3u8

咪咕线路,#genre#
吉林卫视,http://45.192.97.170:8880/play/495.m3u8
东南卫视,http://45.192.97.170:8880/play/489.m3u8
东南卫视,http://45.192.97.170:8880/play/490.m3u8

体育频道,#genre#

抖音直播,#genre#

4K超高清,#genre#

成都电信,#genre#

全网通频,#genre#

央卫代理,#genre#
广东珠江,http://45.192.97.170:8880/play/823.m3u8
广东珠江,http://45.192.97.170:8880/play/729.m3u8
广东体育,http://45.192.97.170:8880/play/824.m3u8

广东潮州,#genre#
第一剧场,http://45.192.97.170:8880/play/758.m3u8

央视卫视,#genre#
CGTN英语,http://45.192.97.170:8880/play/484.m3u8
CGTN记录,http://45.192.97.170:8880/play/485.m3u8
CGTN俄语,http://45.192.97.170:8880/play/486.m3u8
CGTN俄语,http://45.192.97.170:8880/play/6351.m3u8
CGTN法语,http://45.192.97.170:8880/play/487.m3u8
CGTN法语,http://45.192.97.170:8880/play/6352.m3u8
