分类: 咪咕央卫, 名称: CCTV1, 有效: 5, IPv4: 32, IPv6: 0, 最小延迟: 459 ms, 最高速率: 5.41 M/s, 平均速率: 3.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: CCTV2, 有效: 6, IPv4: 32, IPv6: 0, 最小延迟: 51 ms, 最高速率: 6.00 M/s, 平均速率: 2.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 咪咕央卫, 名称: CCTV3, 有效: 3, IPv4: 33, IPv6: 0, 最小延迟: 28 ms, 最高速率: 5.89 M/s, 平均速率: 4.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV4, 有效: 4, IPv4: 31, IPv6: 0, 最小延迟: 45 ms, 最高速率: 6.48 M/s, 平均速率: 3.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV5, 有效: 2, IPv4: 29, IPv6: 0, 最小延迟: 563 ms, 最高速率: 6.88 M/s, 平均速率: 5.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV5+, 有效: 2, IPv4: 26, IPv6: 0, 最小延迟: 555 ms, 最高速率: 3.25 M/s, 平均速率: 1.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV6, 有效: 3, IPv4: 30, IPv6: 0, 最小延迟: 431 ms, 最高速率: 6.22 M/s, 平均速率: 3.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV7, 有效: 5, IPv4: 32, IPv6: 0, 最小延迟: 569 ms, 最高速率: 6.46 M/s, 平均速率: 4.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: CCTV8, 有效: 4, IPv4: 30, IPv6: 0, 最小延迟: 628 ms, 最高速率: 4.96 M/s, 平均速率: 2.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV9, 有效: 5, IPv4: 31, IPv6: 0, 最小延迟: 569 ms, 最高速率: 5.84 M/s, 平均速率: 3.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV10, 有效: 4, IPv4: 31, IPv6: 0, 最小延迟: 517 ms, 最高速率: 5.36 M/s, 平均速率: 4.09 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV11, 有效: 3, IPv4: 28, IPv6: 0, 最小延迟: 465 ms, 最高速率: 6.44 M/s, 平均速率: 3.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV12, 有效: 2, IPv4: 29, IPv6: 0, 最小延迟: 556 ms, 最高速率: 6.29 M/s, 平均速率: 4.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV13, 有效: 3, IPv4: 30, IPv6: 0, 最小延迟: 30 ms, 最高速率: 5.66 M/s, 平均速率: 3.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV14, 有效: 4, IPv4: 32, IPv6: 0, 最小延迟: 44 ms, 最高速率: 6.50 M/s, 平均速率: 3.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 43.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV15, 有效: 4, IPv4: 29, IPv6: 0, 最小延迟: 633 ms, 最高速率: 6.11 M/s, 平均速率: 3.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV17, 有效: 2, IPv4: 25, IPv6: 0, 最小延迟: 554 ms, 最高速率: 3.99 M/s, 平均速率: 3.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 咪咕央卫, 名称: CCTV4欧洲, 有效: 0, IPv4: 8, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: 赛事最经典, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: 体坛名栏汇, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: CCTV4美洲, 有效: 0, IPv4: 8, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: 四海钓鱼, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: 陕西体育, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: 大湾区卫视, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 咪咕央卫, 名称: 辽宁体育, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 5700 ms, 最高速率: 0.09 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
