🕘️更新时间,#genre#
2026-06-08 13:49:13,http://45.192.97.170:8880/play/501.m3u8

咪咕央卫,#genre#
CCTV1,http://45.192.97.170:8880/play/501.m3u8
CCTV1,http://45.192.97.170:8880/play/454.m3u8
CCTV1,http://45.192.97.170:8880/play/453.m3u8
CCTV1,http://45.192.97.170:8880/play/500.m3u8
CCTV1,http://45.192.97.170:8880/play/151.m3u8
CCTV2,http://45.192.97.170:8880/play/502.m3u8
CCTV2,http://45.192.97.170:8880/play/455.m3u8
CCTV2,http://45.192.97.170:8880/play/530.m3u8
CCTV2,http://45.192.97.170:8880/play/199.m3u8
CCTV3,http://45.192.97.170:8880/play/504.m3u8
CCTV3,http://45.192.97.170:8880/play/457.m3u8
CCTV3,http://45.192.97.170:8880/play/153.m3u8
CCTV3,http://45.192.97.170:8880/play/200.m3u8
CCTV4,http://45.192.97.170:8880/play/459.m3u8
CCTV4,http://45.192.97.170:8880/play/507.m3u8
CCTV4,http://45.192.97.170:8880/play/506.m3u8
CCTV4,http://45.192.97.170:8880/play/532.m3u8
CCTV5,http://45.192.97.170:8880/play/508.m3u8
CCTV5,http://45.192.97.170:8880/play/461.m3u8
CCTV5,http://45.192.97.170:8880/play/155.m3u8
CCTV5+,http://45.192.97.170:8880/play/462.m3u8
CCTV5+,http://45.192.97.170:8880/play/156.m3u8
CCTV6,http://45.192.97.170:8880/play/510.m3u8
CCTV6,http://45.192.97.170:8880/play/511.m3u8
CCTV6,http://45.192.97.170:8880/play/463.m3u8
CCTV6,http://45.192.97.170:8880/play/464.m3u8
CCTV6,http://45.192.97.170:8880/play/157.m3u8
CCTV7,http://45.192.97.170:8880/play/465.m3u8
CCTV7,http://45.192.97.170:8880/play/513.m3u8
CCTV7,http://45.192.97.170:8880/play/466.m3u8
CCTV7,http://45.192.97.170:8880/play/512.m3u8
CCTV7,http://45.192.97.170:8880/play/158.m3u8
CCTV8,http://45.192.97.170:8880/play/514.m3u8
CCTV8,http://45.192.97.170:8880/play/467.m3u8
CCTV8,http://45.192.97.170:8880/play/515.m3u8
CCTV8,http://45.192.97.170:8880/play/468.m3u8
CCTV8,http://45.192.97.170:8880/play/159.m3u8
CCTV9,http://45.192.97.170:8880/play/469.m3u8
CCTV9,http://45.192.97.170:8880/play/517.m3u8
CCTV9,http://45.192.97.170:8880/play/470.m3u8
CCTV9,http://45.192.97.170:8880/play/516.m3u8
CCTV9,http://45.192.97.170:8880/play/160.m3u8
CCTV10,http://45.192.97.170:8880/play/518.m3u8
CCTV10,http://45.192.97.170:8880/play/471.m3u8
CCTV10,http://45.192.97.170:8880/play/472.m3u8
CCTV10,http://45.192.97.170:8880/play/519.m3u8
CCTV10,http://45.192.97.170:8880/play/161.m3u8
CCTV11,http://45.192.97.170:8880/play/520.m3u8
CCTV11,http://45.192.97.170:8880/play/473.m3u8
CCTV11,http://45.192.97.170:8880/play/162.m3u8
CCTV12,http://45.192.97.170:8880/play/521.m3u8
CCTV12,http://45.192.97.170:8880/play/474.m3u8
CCTV12,http://45.192.97.170:8880/play/163.m3u8
CCTV13,http://45.192.97.170:8880/play/522.m3u8
CCTV13,http://45.192.97.170:8880/play/475.m3u8
CCTV13,http://45.192.97.170:8880/play/726.m3u8
CCTV13,http://45.192.97.170:8880/play/773.m3u8
CCTV13,http://45.192.97.170:8880/play/164.m3u8
CCTV14,http://45.192.97.170:8880/play/524.m3u8
CCTV14,http://45.192.97.170:8880/play/476.m3u8
CCTV14,http://45.192.97.170:8880/play/523.m3u8
CCTV14,http://45.192.97.170:8880/play/477.m3u8
CCTV14,http://45.192.97.170:8880/play/165.m3u8
CCTV15,http://45.192.97.170:8880/play/478.m3u8
CCTV15,http://45.192.97.170:8880/play/479.m3u8
CCTV15,http://45.192.97.170:8880/play/526.m3u8
CCTV17,http://45.192.97.170:8880/play/482.m3u8
CCTV17,http://45.192.97.170:8880/play/483.m3u8
CCTV17,http://45.192.97.170:8880/play/168.m3u8
东方卫视,http://45.192.97.170:8880/play/492.m3u8
东方卫视,http://45.192.97.170:8880/play/491.m3u8
东方卫视,http://45.192.97.170:8880/play/180.m3u8
江苏卫视,http://45.192.97.170:8880/play/503.m3u8
江苏卫视,http://45.192.97.170:8880/play/183.m3u8
广东卫视,http://45.192.97.170:8880/play/181.m3u8
北京卫视,http://45.192.97.170:8880/play/494.m3u8
北京卫视,http://45.192.97.170:8880/play/179.m3u8
辽宁卫视,http://45.192.97.170:8880/play/196.m3u8
河北卫视,http://45.192.97.170:8880/play/189.m3u8
江西卫视,http://45.192.97.170:8880/play/194.m3u8
湖北卫视,http://45.192.97.170:8880/play/191.m3u8
CHC影迷电影,http://45.192.97.170:8880/play/1774.m3u8
CHC动作电影,http://45.192.97.170:8880/play/527.m3u8
CHC家庭影院,http://45.192.97.170:8880/play/528.m3u8

浙江-iptv,#genre#
CCTV16,http://45.192.97.170:8880/play/480.m3u8
CCTV16,http://45.192.97.170:8880/play/481.m3u8
CCTV16,http://45.192.97.170:8880/play/167.m3u8
HTV-1,http://45.192.97.170:8880/play/169.m3u8
HTV-2,http://45.192.97.170:8880/play/170.m3u8

☘️广东频道,#genre#
广东珠江,http://45.192.97.170:8880/play/823.m3u8
广东体育,http://45.192.97.170:8880/play/871.m3u8
广州综合,http://45.192.97.170:8880/play/5178.m3u8
广州综合,http://45.192.97.170:8880/play/5129.m3u8
广州综合,http://45.192.97.170:8880/play/5131.m3u8
广州综合,http://45.192.97.170:8880/play/5130.m3u8
深圳卫视,http://45.192.97.170:8880/play/184.m3u8
